ds,yhat
2022-06-01 00:00:00,40716.75827642419
2022-06-01 00:30:00,40387.27883033172
2022-06-01 01:00:00,39812.637121693864
2022-06-01 01:30:00,38925.871754794134
2022-06-01 02:00:00,37748.420832458505
2022-06-01 02:30:00,36395.5831248593
2022-06-01 03:00:00,35057.24878758571
2022-06-01 03:30:00,33958.344407083896
2022-06-01 04:00:00,33308.7750269841
2022-06-01 04:30:00,33255.42610312378
2022-06-01 05:00:00,33848.2830648658
2022-06-01 05:30:00,35029.0787148353
2022-06-01 06:00:00,36645.06325899973
2022-06-01 06:30:00,38484.051613312346
2022-06-01 07:00:00,40321.53760613778
2022-06-01 07:30:00,41967.77849927846
2022-06-01 08:00:00,43303.0812410468
2022-06-01 08:30:00,44292.938863496594
2022-06-01 09:00:00,44980.22423104273
2022-06-01 09:30:00,45457.83771322979
2022-06-01 10:00:00,45830.35826607532
2022-06-01 10:30:00,46175.98912033784
2022-06-01 11:00:00,46519.70523889293
2022-06-01 11:30:00,46825.13477609266
2022-06-01 12:00:00,47007.285156209175
2022-06-01 12:30:00,46962.251729468444
2022-06-01 13:00:00,46605.164281959354
2022-06-01 13:30:00,45905.17571002616
2022-06-01 14:00:00,44906.95688779887
2022-06-01 14:30:00,43731.76407582998
2022-06-01 15:00:00,42556.71943038456
2022-06-01 15:30:00,41576.97938794351
2022-06-01 16:00:00,40960.31491784631
2022-06-01 16:30:00,40805.95859121637
2022-06-01 17:00:00,41118.72662097963
2022-06-01 17:30:00,41805.59496794568
2022-06-01 18:00:00,42696.09920257828
2022-06-01 18:30:00,43581.68051673505
2022-06-01 19:00:00,44264.08565298014
2022-06-01 19:30:00,44600.49699083846
2022-06-01 20:00:00,44533.8868123727
2022-06-01 20:30:00,44100.95718825978
2022-06-01 21:00:00,43415.92822143208
2022-06-01 21:30:00,42634.809247884055
2022-06-01 22:00:00,41909.93524561811
2022-06-01 22:30:00,41347.10018779143
2022-06-01 23:00:00,40976.885138828446
2022-06-01 23:30:00,40747.949639002574
2022-06-02 00:00:00,40544.14369130694
2022-06-02 00:30:00,40220.87462177452
2022-06-02 01:00:00,39650.93776517722
2022-06-02 01:30:00,38767.386167285964
2022-06-02 02:00:00,37591.6790444575
2022-06-02 02:30:00,36239.14268899059
2022-06-02 03:00:00,34899.70089920887
2022-06-02 03:30:00,33798.3197183199
2022-06-02 04:00:00,33144.94913211298
2022-06-02 04:30:00,33086.52467679724
2022-06-02 05:00:00,33673.08663637236
2022-06-02 05:30:00,34846.427062162904
2022-06-02 06:00:00,36453.85940931177
2022-06-02 06:30:00,38283.26543472412
2022-06-02 07:00:00,40110.208982822776
2022-06-02 07:30:00,41745.0200791355
2022-06-02 08:00:00,43068.08074625596
2022-06-02 08:30:00,44044.96096167865
2022-06-02 09:00:00,44718.61196014822
2022-06-02 09:30:00,45182.01345766545
2022-06-02 10:00:00,45539.8242846069
2022-06-02 10:30:00,45870.327625516446
2022-06-02 11:00:00,46198.57803118438
2022-06-02 11:30:00,46488.282436870155
2022-06-02 12:00:00,46654.52580597793
2022-06-02 12:30:00,46593.47935880812
2022-06-02 13:00:00,46220.34666483037
2022-06-02 13:30:00,45504.3519102799
2022-06-02 14:00:00,44490.234371731494
2022-06-02 14:30:00,43299.31544469467
2022-06-02 15:00:00,42108.77878863302
2022-06-02 15:30:00,41113.83836416216
2022-06-02 16:00:00,40482.31835680244
2022-06-02 16:30:00,40313.49993665991
2022-06-02 17:00:00,40612.2430101344
2022-06-02 17:30:00,41285.56205968636
2022-06-02 18:00:00,42163.025762444246
2022-06-02 18:30:00,43036.10278281075
2022-06-02 19:00:00,43706.561507644656
2022-06-02 19:30:00,44031.59996419372
2022-06-02 20:00:00,43954.19994379984
2022-06-02 20:30:00,43511.0667732548
2022-06-02 21:00:00,42816.41747132418
2022-06-02 21:30:00,42026.25189060493
2022-06-02 22:00:00,41292.889095683975
2022-06-02 22:30:00,40722.100714351924
2022-06-02 23:00:00,40344.43906036288
2022-06-02 23:30:00,40108.52857345153
2022-06-03 00:00:00,39898.1778902954
2022-06-03 00:30:00,39568.74681740626
2022-06-03 01:00:00,38992.97715734601
2022-06-03 01:30:00,38103.862579969675
2022-06-03 02:00:00,36922.79727738937
2022-06-03 02:30:00,35565.037091406855
2022-06-03 03:00:00,34220.43019341675
2022-06-03 03:30:00,33113.86209558786
2022-06-03 04:00:00,32455.197647041845
2022-06-03 04:30:00,32391.28296336506
2022-06-03 05:00:00,32972.06496744732
2022-06-03 05:30:00,34139.238773993566
2022-06-03 06:00:00,35740.01771014082
2022-06-03 06:30:00,37562.18061847517
2022-06-03 07:00:00,39381.18606215372
2022-06-03 07:30:00,41007.256854970816
2022-06-03 08:00:00,42320.66633017445
2022-06-03 08:30:00,43286.8747601328
2022-06-03 09:00:00,43948.723134470434
2022-06-03 09:30:00,44399.080869100086
2022-06-03 10:00:00,44742.49693111243
2022-06-03 10:30:00,45057.145577509364
2022-06-03 11:00:00,45367.973870152346
2022-06-03 11:30:00,45638.58319936223
2022-06-03 12:00:00,45783.955434271724
2022-06-03 12:30:00,45700.161656375545
2022-06-03 13:00:00,45302.30875443635
2022-06-03 13:30:00,44559.528189688026
2022-06-03 14:00:00,43516.47096040737
2022-06-03 14:30:00,42294.37511405999
2022-06-03 15:00:00,41070.34636347607
2022-06-03 15:30:00,40039.52658686706
2022-06-03 16:00:00,39369.67419711533
2022-06-03 16:30:00,39160.011333752234
2022-06-03 17:00:00,39415.346029981934
2022-06-03 17:30:00,40042.64844787833
2022-06-03 18:00:00,40871.45087375736
2022-06-03 18:30:00,41693.19386421885
2022-06-03 19:00:00,42309.6263132133
2022-06-03 19:30:00,42577.935676570334
2022-06-03 20:00:00,42441.102375895935
2022-06-03 20:30:00,41935.83982433653
2022-06-03 21:00:00,41176.382808470495
2022-06-03 21:30:00,40318.75882634616
2022-06-03 22:00:00,39515.32463174918
2022-06-03 22:30:00,38871.89972056821
2022-06-03 23:00:00,38419.094556313175
2022-06-03 23:30:00,38105.6020808521
2022-06-04 00:00:00,37815.30982256915
2022-06-04 00:30:00,37403.66687305277
2022-06-04 01:00:00,36743.51468275556
2022-06-04 01:30:00,35767.95686803435
2022-06-04 02:00:00,34498.507766713024
2022-06-04 02:30:00,33050.55343228105
2022-06-04 03:00:00,31614.08214578271
2022-06-04 03:30:00,30414.129224959535
2022-06-04 04:00:00,29660.71878424773
2022-06-04 04:30:00,29500.865394970315
2022-06-04 05:00:00,29984.6933231612
2022-06-04 05:30:00,31054.083579465467
2022-06-04 06:00:00,32556.443572795593
2022-06-04 06:30:00,34279.75401591256
2022-06-04 07:00:00,35999.68270291459
2022-06-04 07:30:00,37526.668583227336
2022-06-04 08:00:00,38741.207545898505
2022-06-04 08:30:00,39608.98832893633
2022-06-04 09:00:00,40173.08576157286
2022-06-04 09:30:00,40526.60791345348
2022-06-04 10:00:00,40774.34663778227
2022-06-04 10:30:00,40994.72270720315
2022-06-04 11:00:00,41212.932707057844
2022-06-04 11:30:00,41392.82991980124
2022-06-04 12:00:00,41449.64982044728
2022-06-04 12:30:00,41279.71814172247
2022-06-04 13:00:00,40798.396788517755
2022-06-04 13:30:00,39975.071912752304
2022-06-04 14:00:00,38854.64817979109
2022-06-04 14:30:00,37558.61557560799
2022-06-04 15:00:00,36264.32931657463
2022-06-04 15:30:00,35167.177637350105
2022-06-04 16:00:00,34435.16145234997
2022-06-04 16:30:00,34167.74084005898
2022-06-04 17:00:00,34369.95650679998
2022-06-04 17:30:00,34949.00532666404
2022-06-04 18:00:00,35734.63964887345
2022-06-04 18:30:00,36518.51276804203
2022-06-04 19:00:00,37102.578326926254
2022-06-04 19:30:00,37344.21989240153
2022-06-04 20:00:00,37186.60472797525
2022-06-04 20:30:00,36666.62320622898
2022-06-04 21:00:00,35898.676598659236
2022-06-04 21:30:00,35038.94784447642
2022-06-04 22:00:00,34239.937550270755
2022-06-04 22:30:00,33607.596956804504
2022-06-04 23:00:00,33172.655674787435
2022-06-04 23:30:00,32883.912734094796
2022-06-05 00:00:00,32625.348261545823
2022-06-05 00:30:00,32252.490060231437
2022-06-05 01:00:00,31638.244041779926
2022-06-05 01:30:00,30715.763703573466
2022-06-05 02:00:00,29506.598393597757
2022-06-05 02:30:00,28126.154048373115
2022-06-05 03:00:00,26764.423488086635
2022-06-05 03:30:00,25646.43104940816
2022-06-05 04:00:00,24982.174206508127
2022-06-05 04:30:00,24918.62513442747
2022-06-05 05:00:00,25505.849891199447
2022-06-05 05:30:00,26685.655452407416
2022-06-05 06:00:00,28305.35939208931
2022-06-05 06:30:00,30152.8368570035
2022-06-05 07:00:00,32003.634454871608
2022-06-05 07:30:00,33668.0544805151
2022-06-05 08:00:00,35026.44089443536
2022-06-05 08:30:00,36044.315467305336
2022-06-05 09:00:00,36764.57129795482
2022-06-05 09:30:00,37280.12027914584
2022-06-05 10:00:00,37695.54399621826
2022-06-05 10:30:00,38089.039257427256
2022-06-05 11:00:00,38485.5654194912
2022-06-05 11:30:00,38848.72574109057
2022-06-05 12:00:00,39093.49338262024
2022-06-05 12:30:00,39115.920010673
2022-06-05 13:00:00,38831.082284312804
2022-06-05 13:30:00,38208.07053347815
2022-06-05 14:00:00,37291.4836591679
2022-06-05 14:30:00,36202.49660258196
2022-06-05 15:00:00,35118.1409434093
2022-06-05 15:30:00,34233.47340168306
2022-06-05 16:00:00,33716.156235588765
2022-06-05 16:30:00,33665.30448342299
2022-06-05 17:00:00,34085.60820431144
2022-06-05 17:30:00,34883.90881183921
2022-06-05 18:00:00,35889.599189758024
2022-06-05 18:30:00,36893.96998404385
2022-06-05 19:00:00,37698.60983721416
2022-06-05 19:30:00,38160.535804410734
2022-06-05 20:00:00,38222.547972239336
2022-06-05 20:30:00,37921.16972096921
2022-06-05 21:00:00,37370.4363655735
2022-06-05 21:30:00,36726.166775235695
2022-06-05 22:00:00,36140.500219633905
2022-06-05 22:30:00,35719.03017832031
2022-06-05 23:00:00,35492.132909758555
2022-06-05 23:30:00,35408.25932461725
2022-06-06 00:00:00,35351.04747534458
2022-06-06 00:30:00,35175.689932593086
2022-06-06 01:00:00,34754.764997496844
2022-06-06 01:30:00,34021.106941603444
2022-06-06 02:00:00,32995.95501119756
2022-06-06 02:30:00,31794.414884312162
2022-06-06 03:00:00,30606.189658930594
2022-06-06 03:30:00,29656.025151276866
2022-06-06 04:00:00,29153.652156097265
2022-06-06 04:30:00,29245.788617038823
2022-06-06 05:00:00,29982.259384887984
2022-06-06 05:30:00,31304.643794730877
2022-06-06 06:00:00,33060.04585444996
2022-06-06 06:30:00,35036.14169074301
2022-06-06 07:00:00,37008.29387037699
2022-06-06 07:30:00,38786.63602382621
2022-06-06 08:00:00,40251.359177878665
2022-06-06 08:30:00,41367.84821571653
2022-06-06 09:00:00,42178.87566999662
2022-06-06 09:30:00,42777.24941945213
2022-06-06 10:00:00,43267.463777241006
2022-06-06 10:30:00,43727.645167990115
2022-06-06 11:00:00,44182.69955599564
2022-06-06 11:30:00,44596.193857991515
2022-06-06 12:00:00,44883.081959485986
2022-06-06 12:30:00,44939.41329056071
2022-06-06 13:00:00,44680.27924175478
2022-06-06 13:30:00,44074.80172780592
2022-06-06 14:00:00,43167.6279312234
2022-06-06 14:30:00,42079.99757228816
2022-06-06 15:00:00,40989.02326616841
2022-06-06 15:30:00,40089.858744870086
2022-06-06 16:00:00,39550.27893268003
2022-06-06 16:30:00,39469.5268288459
2022-06-06 17:00:00,39852.43535060322
2022-06-06 17:30:00,40606.003232592535
2022-06-06 18:00:00,41559.794673511926
2022-06-06 18:30:00,42505.28512483269
2022-06-06 19:00:00,43244.2609900527
2022-06-06 19:30:00,43633.94947457503
2022-06-06 20:00:00,43617.37260979954
2022-06-06 20:30:00,43231.2868927945
2022-06-06 21:00:00,42589.971280072015
2022-06-06 21:30:00,41849.49813552621
2022-06-06 22:00:00,41162.26938437423
2022-06-06 22:30:00,40634.149609966305
2022-06-06 23:00:00,40295.79389328686
2022-06-06 23:30:00,40095.93894086791
2022-06-07 00:00:00,39918.51481629344
2022-06-07 00:30:00,39619.0115467896
2022-06-07 01:00:00,39070.309557471504
2022-06-07 01:30:00,38205.54912607577
2022-06-07 02:00:00,37046.2785979721
2022-06-07 02:30:00,35707.91505134605
2022-06-07 03:00:00,34380.47449397112
2022-06-07 03:30:00,33289.01637189623
2022-06-07 04:00:00,32643.585044745396
2022-06-07 04:30:00,32591.21117795709
2022-06-07 05:00:00,33182.030731072104
2022-06-07 05:30:00,34357.93177634435
2022-06-07 06:00:00,35966.32394134302
2022-06-07 06:30:00,37795.18512396528
2022-06-07 07:00:00,39620.175100748806
2022-06-07 07:30:00,41251.719453521815
2022-06-07 08:00:00,42570.29522939172
2022-06-07 08:30:00,43541.56674877291
2022-06-07 09:00:00,44208.578769563355
2022-06-07 09:30:00,44664.40358320306
2022-06-07 10:00:00,45013.79152793225
2022-06-07 10:30:00,45335.11611993442
2022-06-07 11:00:00,45653.52096615831
2022-06-07 11:30:00,45932.80069318374
2022-06-07 12:00:00,46088.12651119013
2022-06-07 12:30:00,46015.754372713855
2022-06-07 13:00:00,45630.97100435158
2022-06-07 13:30:00,44903.0821231145
2022-06-07 14:00:00,43876.906867665544
2022-06-07 14:30:00,42673.84479351786
2022-06-07 15:00:00,41471.15599299141
2022-06-07 15:30:00,40464.12911559195
2022-06-07 16:00:00,39820.66128273202
2022-06-07 16:30:00,39640.104845727925
2022-06-07 17:00:00,39927.38914287579
2022-06-07 17:30:00,40589.596350993736
2022-06-07 18:00:00,41456.36112242514
2022-06-07 18:30:00,42319.21640101201
2022-06-07 19:00:00,42979.993185795494
2022-06-07 19:30:00,43295.95048330343
2022-06-07 20:00:00,43210.12946780675
2022-06-07 20:30:00,42759.29329433861
2022-06-07 21:00:00,42057.71529908865
2022-06-07 21:30:00,41261.45018824585
2022-06-07 22:00:00,40522.87046436776
2022-06-07 22:30:00,39947.79982733018
2022-06-07 23:00:00,39566.84134860048
2022-06-07 23:30:00,39328.66896147093
2022-06-08 00:00:00,39117.139582943084
2022-06-08 00:30:00,38787.6601368888
2022-06-08 01:00:00,38213.018428337055
2022-06-08 01:30:00,37326.25306134322
2022-06-08 02:00:00,36148.802138992505
2022-06-08 02:30:00,34795.964431400906
2022-06-08 03:00:00,33457.63009411524
2022-06-08 03:30:00,32358.72571361876
2022-06-08 04:00:00,31709.1563335184
2022-06-08 04:30:00,31655.807409667665
2022-06-08 05:00:00,32248.664371425944
2022-06-08 05:30:00,33429.46002139719
2022-06-08 06:00:00,35045.44456555222
2022-06-08 06:30:00,36884.43291985808
2022-06-08 07:00:00,38721.91891267635
2022-06-08 07:30:00,40368.15980583974
2022-06-08 08:00:00,41703.462547610245
2022-06-08 08:30:00,42693.3201700528
2022-06-08 09:00:00,43380.60553759965
2022-06-08 09:30:00,43858.21901977931
2022-06-08 10:00:00,44230.73957262585
2022-06-08 10:30:00,44576.37042688197
2022-06-08 11:00:00,44920.08654544316
2022-06-08 11:30:00,45225.516082632676
2022-06-08 12:00:00,45407.66646277811
2022-06-08 12:30:00,45362.63303602638
2022-06-08 13:00:00,45005.54558851734
2022-06-08 13:30:00,44305.55701656865
2022-06-08 14:00:00,43307.338194335214
2022-06-08 14:30:00,42132.1453823708
2022-06-08 15:00:00,40957.10073692574
2022-06-08 15:30:00,39977.36069449056
2022-06-08 16:00:00,39360.69622439499
2022-06-08 16:30:00,39206.33989776998
2022-06-08 17:00:00,39519.10792753343
2022-06-08 17:30:00,40205.97627450094
2022-06-08 18:00:00,41096.4805091306
2022-06-08 18:30:00,41982.061823294505
2022-06-08 19:00:00,42664.46695952503
2022-06-08 19:30:00,43000.87829740369
2022-06-08 20:00:00,42934.268118936365
2022-06-08 20:30:00,42501.33849481965
2022-06-08 21:00:00,41816.30952796739
2022-06-08 21:30:00,41035.190554420995
2022-06-08 22:00:00,40310.31655215865
2022-06-08 22:30:00,39747.481494335516
2022-06-08 23:00:00,39377.2664453762
2022-06-08 23:30:00,39148.33094555195
2022-06-09 00:00:00,38944.524997856664
2022-06-09 00:30:00,38621.25592838689
2022-06-09 01:00:00,38051.319071721075
2022-06-09 01:30:00,37167.767473827545
2022-06-09 02:00:00,35992.06035099506
2022-06-09 02:30:00,34639.52399553792
2022-06-09 03:00:00,33300.082205760795
2022-06-09 03:30:00,32198.70102485102
2022-06-09 04:00:00,31545.330438677396
2022-06-09 04:30:00,31486.90598328424
2022-06-09 05:00:00,32073.467942921947
2022-06-09 05:30:00,33246.80836871493
2022-06-09 06:00:00,34854.24071567612
2022-06-09 06:30:00,36683.646741284414
2022-06-09 07:00:00,38510.590289388405
2022-06-09 07:30:00,40145.40138569644
2022-06-09 08:00:00,41468.46205281893
2022-06-09 08:30:00,42445.342268234344
2022-06-09 09:00:00,43118.99326669048
2022-06-09 09:30:00,43582.39476420427
2022-06-09 10:00:00,43940.2055911181
2022-06-09 10:30:00,44270.708932070054
2022-06-09 11:00:00,44598.95933772547
2022-06-09 11:30:00,44888.66374335754
2022-06-09 12:00:00,45054.907112515284
2022-06-09 12:30:00,44993.86066534814
2022-06-09 13:00:00,44620.72797136513
2022-06-09 13:30:00,43904.73321681839
2022-06-09 14:00:00,42890.615678266695
2022-06-09 14:30:00,41699.69675123557
2022-06-09 15:00:00,40509.16009517302
2022-06-09 15:30:00,39514.21967068836
2022-06-09 16:00:00,38882.69966332679
2022-06-09 16:30:00,38713.881243192685
2022-06-09 17:00:00,39012.6243166715
2022-06-09 17:30:00,39685.94336623507
2022-06-09 18:00:00,40563.40706899526
2022-06-09 18:30:00,41436.48408935849
2022-06-09 19:00:00,42106.94281418824
2022-06-09 19:30:00,42431.98127073304
2022-06-09 20:00:00,42354.581250336516
2022-06-09 20:30:00,41911.448079788985
2022-06-09 21:00:00,41216.798777859556
2022-06-09 21:30:00,40426.63319714153
2022-06-09 22:00:00,39693.27040222531
2022-06-09 22:30:00,39122.48202088661
2022-06-09 23:00:00,38744.820366892964
2022-06-09 23:30:00,38508.90987997735
2022-06-10 00:00:00,38298.559196819435
2022-06-10 00:30:00,37969.12812395476
2022-06-10 01:00:00,37393.358463890574
2022-06-10 01:30:00,36504.24388651017
2022-06-10 02:00:00,35323.178583925575
2022-06-10 02:30:00,33965.418397939924
2022-06-10 03:00:00,32620.811499948726
2022-06-10 03:30:00,31514.2434021196
2022-06-10 04:00:00,30855.578953578784
2022-06-10 04:30:00,30791.664269905436
2022-06-10 05:00:00,31372.446274012327
2022-06-10 05:30:00,32539.620080545996
2022-06-10 06:00:00,34140.39901669791
2022-06-10 06:30:00,35962.561925029935
2022-06-10 07:00:00,37781.5673686966
2022-06-10 07:30:00,39407.63816154025
2022-06-10 08:00:00,40721.04763673663
2022-06-10 08:30:00,41687.25606669777
2022-06-10 09:00:00,42349.10444102617
2022-06-10 09:30:00,42799.46217565249
2022-06-10 10:00:00,43142.87823766185
2022-06-10 10:30:00,43457.526884056235
2022-06-10 11:00:00,43768.35517664147
2022-06-10 11:30:00,44038.96450590485
2022-06-10 12:00:00,44184.336740808314
2022-06-10 12:30:00,44100.542962934895
2022-06-10 13:00:00,43702.6900609844
2022-06-10 13:30:00,42959.90949623126
2022-06-10 14:00:00,41916.8522669413
2022-06-10 14:30:00,40694.75642058523
2022-06-10 15:00:00,39470.72767015212
2022-06-10 15:30:00,38439.907893413314
2022-06-10 16:00:00,37770.05550366095
2022-06-10 16:30:00,37560.39264033005
2022-06-10 17:00:00,37815.72733653649
2022-06-10 17:30:00,38443.029754432835
2022-06-10 18:00:00,39271.83218030994
2022-06-10 18:30:00,40093.575170781914
2022-06-10 19:00:00,40710.00761977611
2022-06-10 19:30:00,40978.31698314636
2022-06-10 20:00:00,40841.48368245551
2022-06-10 20:30:00,40336.221130953905
2022-06-10 21:00:00,39576.76411502033
2022-06-10 21:30:00,38719.14013287948
2022-06-10 22:00:00,37915.70593828874
2022-06-10 22:30:00,37272.281027109006
2022-06-10 23:00:00,36819.47586285984
2022-06-10 23:30:00,36505.9833873985
2022-06-11 00:00:00,36215.69112911766
2022-06-11 00:30:00,35804.04817959912
2022-06-11 01:00:00,35143.89598929804
2022-06-11 01:30:00,34168.33817457209
2022-06-11 02:00:00,32898.88907324432
2022-06-11 02:30:00,31450.93473882035
2022-06-11 03:00:00,30014.46345232881
2022-06-11 03:30:00,28814.51053151316
2022-06-11 04:00:00,28061.100090806765
2022-06-11 04:30:00,27901.2467015082
2022-06-11 05:00:00,28385.074629726558
2022-06-11 05:30:00,29454.464886015347
2022-06-11 06:00:00,30956.82487937213
2022-06-11 06:30:00,32680.13532247051
2022-06-11 07:00:00,34400.064009495756
2022-06-11 07:30:00,35927.04988978574
2022-06-11 08:00:00,37141.58885245465
2022-06-11 08:30:00,38009.36963548928
2022-06-11 09:00:00,38573.46706810592
2022-06-11 09:30:00,38926.98921999437
2022-06-11 10:00:00,39174.72794432801
2022-06-11 10:30:00,39395.104013759366
2022-06-11 11:00:00,39613.31401359572
2022-06-11 11:30:00,39793.211226340216
2022-06-11 12:00:00,39850.031126981245
2022-06-11 12:30:00,39680.09944825829
2022-06-11 13:00:00,39198.778095048976
2022-06-11 13:30:00,38375.453219286865
2022-06-11 14:00:00,37255.02948632258
2022-06-11 14:30:00,35958.99688214524
2022-06-11 15:00:00,34664.71062311082
2022-06-11 15:30:00,33567.558943884935
2022-06-11 16:00:00,32835.54275889348
2022-06-11 16:30:00,32568.122146600042
2022-06-11 17:00:00,32770.337813338534
2022-06-11 17:30:00,33349.386633220696
2022-06-11 18:00:00,34135.02095542481
2022-06-11 18:30:00,34918.894074585805
2022-06-11 19:00:00,35502.959633470186
2022-06-11 19:30:00,35744.60119893689
2022-06-11 20:00:00,35586.98603452056
2022-06-11 20:30:00,35067.00451275928
2022-06-11 21:00:00,34299.057905193964
2022-06-11 21:30:00,33439.32915109638
2022-06-11 22:00:00,32640.31885681118
2022-06-11 22:30:00,32007.978263345176
2022-06-11 23:00:00,31573.036981316538
2022-06-11 23:30:00,31284.294040624052
2022-06-12 00:00:00,31025.729568069786
2022-06-12 00:30:00,30652.871366780062
2022-06-12 01:00:00,30038.625348306436
2022-06-12 01:30:00,29116.145010239645
2022-06-12 02:00:00,27906.979700131218
